,funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,is_successful,category
1,700000.0,USA,DE,DE - Other,Delaware City,2,2014-09-04,2014-03-01,2014-10-14,0,Application Platforms
3,2000000.0,CHN,22,Beijing,Beijing,1,2007-01-01,2008-03-19,2008-03-19,0,Curated Web
6,762851.0,CAN,BC,Vancouver,Vancouver,2,1997-01-01,2009-09-11,2009-12-21,0,Biotechnology
7,33600000.0,USA,CA,SF Bay Area,Mountain View,4,2011-01-01,2013-01-03,2015-11-09,0,Analytics
8,1150050.0,USA,CA,SF Bay Area,San Francisco,3,2011-08-01,2011-07-20,2014-02-05,0,Mobile
9,40000.0,CHL,12,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18,0,E-Commerce
13,1750000.0,USA,NJ,Newark,Iselin,1,1984-01-01,2011-03-02,2011-03-02,0,Health and Wellness
14,6000000.0,USA,NY,New York City,New York,1,2013-10-24,2015-02-01,2015-02-01,0,Internet Marketing
15,5000000.0,USA,CA,SF Bay Area,Cupertino,1,2012-03-01,2015-03-17,2015-03-17,1,Apps
16,100000.0,USA,CA,SF Bay Area,Mountain View,1,2014-12-01,2014-12-13,2014-12-13,0,Entertainment
17,2050000.0,USA,MD,Baltimore,Woodbine,4,2001-01-01,2009-06-18,2011-12-28,0,E-Commerce
18,4400000.0,GBR,H9,London,London,2,2013-01-01,2013-01-01,2014-10-09,0,Education
19,40000.0,USA,OR,"Portland, Oregon",Lake Oswego,1,2008-01-01,2011-08-23,2011-08-23,0,Search
20,500000.0,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15,1,Art
21,43923865.0,,,,,1,2008-01-01,2010-04-01,2010-04-01,0,Mobile
23,2535000.0,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16,1,Curated Web
24,6795451.0,USA,MA,MA - Other,Lenox,9,2008-01-01,2009-10-14,2015-11-13,0,Curated Web
25,10661772.8991108,FRA,A8,Paris,Paris,5,2010-11-20,2012-12-15,2015-11-04,0,Local Businesses
26,8900000.0,FRA,A9,Montpellier,Montpellier,1,2012-01-01,2015-07-09,2015-07-09,0,Cosmetics
27,10000000.0,CHN,22,Beijing,Beijing,3,2009-01-01,2011-01-01,2014-07-31,0,Games
30,4000000.0,USA,WI,Madison,Madison,2,2014-07-04,2014-11-26,2015-10-20,0,Health Care
31,1250000.0,USA,CA,SF Bay Area,San Francisco,2,2011-09-16,2011-11-02,2011-11-30,1,Analytics
32,35000000.0,USA,NY,New York City,New York,1,2000-01-01,2010-03-08,2010-03-08,1,Software
34,50000.0,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01,0,Curated Web
35,100000.0,,,,,1,2015-04-01,2015-09-04,2015-09-04,0,Coffee
36,1600000.0,USA,CA,SF Bay Area,San Francisco,2,2013-07-08,2013-10-31,2014-05-08,0,E-Commerce
37,100000.0,AUS,2,Sydney,Sydney,1,2009-07-01,2010-07-01,2010-07-01,0,Enterprise Software
40,55000000.0,USA,CA,SF Bay Area,Pleasanton,1,2012-01-01,2015-01-12,2015-01-12,0,Biotechnology
41,3550000.0,USA,CA,SF Bay Area,Oakland,2,2012-01-01,2012-11-07,2015-01-12,0,Biotechnology
42,77500.0,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12,0,Software
46,20000000.0,CHN,23,Shanghai,Shanghai,1,2011-10-01,2014-04-28,2014-04-28,0,Social Travel
48,935000.0,USA,CA,SF Bay Area,Palo Alto,1,2014-08-01,2014-11-26,2014-11-26,0,Health and Wellness
52,440000.0,AUS,7,Melbourne,Melbourne,3,2012-02-01,2012-05-01,2013-06-30,0,Audio
53,794000.0,USA,RI,Providence,Providence,6,2011-10-07,2012-02-06,2014-01-01,0,Health Diagnostics
54,650267.0,,,,,2,2012-01-01,2012-09-01,2013-11-22,0,Advertising
55,1000000.0,ROM,36,Timisoara,Timisoara,2,2008-01-01,2010-01-01,2015-06-16,0,E-Commerce
56,13000000.0,CHN,2,Hangzhou,Hangzhou,1,2014-01-01,2015-10-27,2015-10-27,0,
57,5400000.0,,,,,1,1997-05-01,2015-07-23,2015-07-23,0,Internet
59,378812.0,GBR,C3,London,Cambridge,1,2013-01-01,2014-03-18,2014-03-18,0,Software
60,11999347.0,USA,MA,Boston,Burlington,1,2014-07-07,2014-12-16,2014-12-16,0,Service Providers
61,130636.0,FRA,A8,Paris,Paris,1,2008-01-01,2012-03-15,2012-03-15,0,Publishing
63,619494.0,NLD,11,NLD - Other,Gorinchem,1,2010-12-10,2012-06-01,2012-06-01,0,Consumer Goods
65,71450000.0,USA,MA,Boston,Bedford,9,2007-01-01,2008-03-27,2015-04-09,0,Manufacturing
67,700000.0,SWE,26,Stockholm,Stockholm,1,2010-01-01,2012-06-15,2012-06-15,1,Augmented Reality
68,5500000.0,USA,CA,SF Bay Area,San Francisco,2,2010-01-11,2009-07-01,2011-04-28,0,Advertising
69,500000.0,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05,0,Advertising
72,3400000.0,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02,0,Software
73,200000.0,,,,,1,2011-04-19,2011-05-10,2011-05-10,0,Games
75,199957.0,USA,WA,Seattle,Seattle,1,2006-01-01,2009-06-11,2009-06-11,0,Software
76,50000.0,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01,0,Entertainment
78,16000000.0,CHN,22,Beijing,Beijing,1,2011-01-01,2015-06-05,2015-06-05,0,Public Transportation
79,10000000.0,,,,,1,2015-07-15,2015-11-05,2015-11-05,0,
80,14000000.0,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16,1,Software
81,5250000.0,USA,CA,Los Angeles,Los Angeles,2,2014-01-01,2015-02-18,2015-10-15,0,Internet
82,84440319.0,CHN,4,Shanghai,Suzhou,3,2004-01-01,2008-01-01,2014-02-17,0,Travel
83,135000000.0,USA,VA,VA - Other,Shanghai,5,2007-01-01,2011-01-01,2015-02-19,0,Education
87,9478511.0,CHN,22,Beijing,Beijing,3,2005-01-01,2006-01-01,2013-07-01,0,Finance
89,5000000.0,USA,CA,SF Bay Area,San Francisco,1,2008-11-01,2010-02-11,2010-02-11,0,Clean Technology
90,200000000.0,RUS,48,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03,0,Games
91,40000.0,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04,0,Advertising
95,2500000.0,USA,IA,Des Moines,Ankeny,1,2013-01-01,2015-04-27,2015-04-27,0,Health Care
98,43811.0,AUS,2,Sydney,Newcastle,2,2009-08-26,2009-05-01,2009-10-01,0,Curated Web
99,50000.0,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30,0,Cosmetics
100,37639.0,COL,34,Bogota,Bogotá,1,2013-11-01,2014-05-21,2014-05-21,0,Health and Wellness
101,1700000.0,USA,NY,New York City,New York,2,2011-02-01,2011-08-10,2015-07-21,1,Doctors
102,1450000.0,USA,WA,Seattle,Seattle,1,2010-01-01,2013-04-22,2013-04-22,0,Software
103,2100000.0,USA,DC,"Washington, D.C.",Washington,3,2013-03-08,2013-03-11,2015-04-10,0,Health and Wellness
105,212000.0,,,,,2,2013-07-18,2014-05-30,2015-11-02,0,Mobile
106,30000000.0,USA,CA,SF Bay Area,San Francisco,1,2002-01-01,2013-03-21,2013-03-21,0,Health and Wellness
107,500000.0,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,2011-01-01,2013-08-05,2013-08-05,0,Social Media
108,761234.47320427,ESP,53,Las Palmas De Gran Canaria,Las Palmas De Gran Canaria,4,2013-09-01,2013-09-10,2015-11-01,0,Non Profit
109,15000000.0,CHN,22,Beijing,Beijing,1,2014-01-01,2015-12-02,2015-12-02,0,
114,156000.0,,,,,2,2013-01-25,2013-08-05,2013-09-02,0,Mobile
115,30000.0,USA,TX,Houston,Houston,1,2011-10-01,2011-12-20,2011-12-20,0,Manufacturing
117,10000000.0,USA,FL,Miami,Miami,1,2007-01-01,2014-05-07,2014-05-07,0,Financial Services
118,117000000.0,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09,0,E-Commerce
119,750000.0,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01,0,E-Commerce
121,4000000.0,USA,CA,SF Bay Area,San Jose,3,2011-12-01,2013-07-02,2015-08-13,0,Analytics
123,1660000.0,FRA,A8,Paris,Paris,1,2000-10-01,2008-06-19,2008-06-19,0,Games
124,58000.0,USA,VT,VT - Other,Williston,1,2011-12-26,2012-04-12,2012-04-12,0,Consumers
125,204189.0,BEL,4,BEL - Other,Ferrières,1,2010-01-01,2014-06-25,2014-06-25,0,Design
126,41250.0,,,,,1,2011-01-01,2014-01-01,2014-01-01,0,Digital Media
127,4345427.0,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30,0,Biotechnology
128,29750000.0,IRL,23,IRL - Other,Cree,1,2006-09-01,2008-07-04,2008-07-04,0,Mobile
129,51507046.0,USA,GA,Atlanta,Atlanta,7,2008-01-01,2010-08-05,2015-11-30,0,News
130,1236454.0,ITA,20,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01,0,Curated Web
132,2800000.0,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01,0,Art
133,50000.0,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01,0,Advertising
134,1464128.0,CHN,22,Beijing,Beijing,1,2004-01-01,2010-01-22,2010-01-22,0,Delivery
135,6369507.0,IND,10,New Delhi,Gurgaon,1,2012-06-01,2012-11-15,2012-11-15,0,E-Commerce
136,121050000.0,USA,CA,SF Bay Area,San Francisco,2,2013-05-01,2013-11-17,2015-03-10,0,Big Data
139,396000000.0,CHN,22,Beijing,Beijing,5,2009-10-16,2008-02-13,2014-12-04,1,Software
140,15034750.0,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18,1,Biotechnology
141,250000.0,ISR,5,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15,0,Android
142,1610541.0,CHN,23,Shanghai,Shanghai,2,2005-09-01,2010-05-01,2010-10-01,0,Software
143,615000.0,SGP,,Singapore,Singapore,1,2009-02-01,2011-01-11,2011-01-11,0,Mobile
144,227049900.0,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03,0,Biotechnology
145,50000.0,CAN,ON,Toronto,Toronto,1,2011-06-01,2011-08-15,2011-08-15,0,Blogging Platforms
151,4000000.0,IND,19,Bangalore,Bangalore,1,2001-01-01,2007-11-06,2007-11-06,0,EdTech
153,500000.0,USA,CA,Los Angeles,Rolling Hills Estates,1,2007-01-01,2009-07-23,2009-07-23,0,Computers
155,400000.0,USA,IL,Chicago,Willowbrook,1,2007-08-01,2014-05-01,2014-05-01,0,Non Profit
157,2000000.0,NLD,7,Amsterdam,Amsterdam,1,2009-01-01,2015-04-10,2015-04-10,0,Internet
158,16000000.0,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16,0,Clean Technology
161,50000.0,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24,0,Software
162,2942768.88931116,ESP,29,Madrid,Madrid,3,2010-08-07,2010-10-20,2013-05-15,0,Software
164,300000.0,USA,IN,Indianapolis,Indianapolis,2,2012-01-01,2012-09-01,2014-03-01,0,Software
166,2000000.0,CHN,22,Beijing,Beijing,1,2004-01-01,2004-12-01,2004-12-01,0,Software
168,118000.0,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17,0,E-Commerce
170,5844811.0,USA,CA,SF Bay Area,Palo Alto,1,2008-01-01,2013-10-28,2013-10-28,0,Cloud Computing
174,10000000.0,SGP,,,,3,2003-01-01,2011-01-01,2015-04-27,0,E-Commerce
175,8300000.0,RUS,48,Moscow,Moscow,3,2012-04-12,2012-09-01,2015-11-18,0,Credit Cards
176,6785876.0,CAN,ON,Toronto,Toronto,1,2008-01-01,2010-08-25,2010-08-25,0,Software
177,72000000.0,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15,0,E-Commerce
179,383000.0,AUS,4,Brisbane,Brisbane,2,2010-07-01,2010-04-01,2012-10-10,0,Software
181,165000000.0,NZL,E7,Auckland,Auckland,1,2009-01-01,2013-06-18,2013-06-18,0,Mobile
184,275000.0,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09,0,Software
185,33457.0,FRA,A8,Paris,Paris,1,2010-01-01,2010-07-01,2010-07-01,0,Discounts
186,966728.0,BEL,1,Brussels,Bel,2,2011-05-01,2011-08-08,2012-11-09,0,Curated Web
187,4000000.0,USA,CO,Denver,Denver,1,2011-09-01,2015-01-09,2015-01-09,1,Internet of Things
189,300000.0,USA,WA,Seattle,Kirkland,2,2012-01-01,2014-05-15,2015-03-16,0,Application Platforms
192,85000000.0,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30,1,Software
193,37644420.0,USA,WA,Seattle,Seattle,4,2010-01-01,2011-12-06,2014-10-14,0,Cloud Infrastructure
194,20000.0,USA,CA,SF Bay Area,Santa Cruz,1,2004-01-01,2013-03-31,2013-03-31,0,Landscaping
195,6000.0,USA,CA,Sacramento,Elk Grove,1,2013-09-13,2014-09-13,2014-09-13,0,Advertising
196,3167062.0,IRL,10,IRL - Other,Ballinasloe,1,1999-11-23,2002-11-01,2002-11-01,0,SaaS
197,2300000.0,USA,CA,SF Bay Area,Dublin,1,2010-08-01,2014-10-15,2014-10-15,0,Curated Web
200,300000.0,AUS,2,Sydney,Sydney,2,2004-05-01,2007-08-01,2008-06-01,0,Art
201,95875000.0,USA,MD,MD - Other,Hyattsville,6,2008-01-01,2009-03-25,2013-10-21,1,EdTech
202,80000.0,CAN,BC,Vancouver,Vancouver,1,2012-01-25,2011-06-01,2011-06-01,0,E-Commerce
210,128477567.0,USA,CA,SF Bay Area,Menlo Park,7,2007-03-01,2007-05-22,2015-03-17,0,Biotechnology
211,25000.0,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20,0,Apps
214,500000.0,USA,IL,Chicago,Chicago,1,2013-01-23,2014-09-16,2014-09-16,0,Finance
215,2274716.0,GBR,H9,London,London,1,2012-07-01,2014-03-01,2014-03-01,0,E-Commerce
218,25654560.0,USA,NY,New York City,New York,5,2007-09-01,2009-02-06,2012-07-19,0,Advertising
219,20000.0,IND,36,Kanpur,Kanpur,1,2015-05-01,2015-07-06,2015-07-06,0,Internet
222,17800000.0,USA,PA,Pittsburgh,Pittsburgh,1,1998-01-01,2014-08-11,2014-08-11,0,Consumer Electronics
223,5000000.0,CHN,23,Shanghai,Shanghai,1,2000-01-01,2009-06-01,2009-06-01,0,Biotechnology
224,1000000.0,USA,GA,Atlanta,Atlanta,2,2005-01-01,2011-11-01,2013-01-01,0,Biotechnology
225,7650000.0,CAN,ON,Toronto,Whitby,1,2008-01-01,2013-01-15,2013-01-15,0,Software
226,1543920.0,FRA,A8,Paris,Paris,1,2010-01-01,2013-09-30,2013-09-30,0,Communities
227,23000000.0,,,,,3,2006-03-28,2006-02-08,2008-07-01,0,Internet
230,16000000.0,USA,CA,SF Bay Area,Emeryville,1,2012-01-01,2014-09-10,2014-09-10,0,Data Centers
234,609229.0,ESP,,,,4,2011-12-12,2011-12-01,2012-09-01,0,Artificial Intelligence
235,6700000.0,GBR,H9,London,London,2,2008-01-01,2013-01-28,2014-09-29,0,Android
237,1573976.0,CHN,22,Beijing,Beijing,3,1999-01-01,2011-04-01,2015-10-15,0,Blogging Platforms
238,525000.0,USA,CA,SF Bay Area,Sunnyvale,2,2014-01-01,2014-03-15,2014-06-01,0,Bitcoin
239,1629549.0,CHN,,,,1,2013-01-01,2014-03-01,2014-03-01,0,Mobile
242,1600000.0,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13,0,Mobile
244,1719583.0,CHE,7,Geneva,Geneva,2,2011-08-01,2011-08-01,2014-07-10,0,Networking
245,6000000.0,USA,FL,Palm Beaches,Boca Raton,1,2005-01-01,2011-03-01,2011-03-01,0,Business Services
246,75000.0,BRA,18,Curitiba,Curitiba,1,2013-01-10,2013-01-10,2013-01-10,0,Cloud Computing
247,133620.0,ITA,6,Bolzano,Bolzano,1,2008-01-01,2011-01-01,2011-01-01,0,Biotechnology
248,35000.0,USA,NY,New York City,New York,1,2015-02-01,2015-07-01,2015-07-01,0,Babies
249,500000.0,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01,0,Consumer Electronics
250,9311190.0,USA,MD,"Washington, D.C.",Rockville,4,2005-01-01,2013-01-14,2015-07-07,0,Customer Service
251,7289000.0,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01,1,Enterprise Software
252,750000.0,USA,WA,WA - Other,Pullman,1,2012-01-01,2014-10-14,2014-10-14,0,3D
253,1465000.0,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2009-10-05,2013-02-05,0,Biotechnology
256,500000.0,USA,MA,Boston,Quincy,2,2013-01-01,2014-06-02,2015-02-19,0,3D Technology
259,503000.0,USA,FL,Orlando,Longwood,2,2011-01-01,2011-06-22,2013-03-21,0,Games
260,350000.0,USA,NY,New York City,New York,1,2013-02-18,2015-01-14,2015-01-14,0,Photography
261,4500000.0,NLD,7,Amsterdam,Amsterdam,2,2013-04-01,2013-08-27,2014-09-02,0,3D Printing
262,1200000.0,GBR,H9,London,London,2,2012-01-01,2012-03-01,2013-03-01,0,3D
264,7500.0,USA,TN,Chattanooga,Chattanooga,1,2014-06-18,2014-05-15,2014-05-15,0,3D Printing
265,240000.0,USA,WA,Seattle,Seattle,2,2013-01-01,2014-01-01,2014-05-15,0,3D
266,99000000.0,USA,CA,San Diego,San Diego,4,2009-01-01,2012-11-05,2015-04-23,0,Drones
268,1168005.0,FRA,A2,FRA - Other,Cesson-sévigné,1,2014-01-01,2015-03-12,2015-03-12,0,Hardware + Software
269,909940.0,USA,MN,Minneapolis,Minneapolis,3,2010-01-01,2011-01-21,2013-07-25,0,Software
270,169500000.0,USA,SC,SC - Other,Rock Hill,3,1986-01-01,2014-01-15,2014-10-13,1,Software
271,150000.0,USA,MI,Detroit,Ann Arbor,1,2009-01-01,2012-12-03,2012-12-03,0,Hardware + Software
272,16399999.0,IRL,7,Dublin,Dublin,1,2004-01-01,2015-07-07,2015-07-07,0,Health Care
273,400000.0,USA,CA,SF Bay Area,Redwood City,1,2009-02-06,2014-10-12,2014-10-12,0,E-Commerce
275,1250000.0,USA,FL,Ft. Lauderdale,Lauderhill,1,1997-05-01,2010-01-01,2010-01-01,0,E-Commerce
277,1880000.0,USA,CT,Hartford,New Haven,4,2012-01-01,2013-04-02,2015-07-23,0,3D
278,1150000.0,USA,CA,Los Angeles,El Segundo,2,2014-07-23,2014-08-01,2015-03-15,0,3D Printing
281,202250.031601567,,,,,1,2014-07-01,2015-11-01,2015-11-01,0,
282,202250.031601567,CHE,1,CHE - Other,Wildegg,1,2014-07-01,2015-11-01,2015-11-01,0,
283,2670000.0,RUS,13,RUS - Other,Miass,2,2011-04-01,2011-01-01,2012-10-01,0,3D
284,530000.0,USA,KY,,,1,2012-12-01,2014-08-22,2014-08-22,0,3D Printing
285,30000.0,JOR,16,Amman,Amman,1,2014-08-03,2014-01-01,2014-01-01,0,3D Printing
286,732064.0,,,,,1,2001-01-01,2010-05-01,2010-05-01,0,Games
287,3000.0,USA,NJ,Newark,Chatham,1,2011-01-01,2015-11-05,2015-11-05,0,Printing
288,204952.0,,,,,1,2013-11-21,2014-12-18,2014-12-18,0,Creative
290,220000.0,,,,,1,2013-03-15,2014-01-15,2014-01-15,0,3D
293,2065000.0,IND,19,Bangalore,Bangalore,2,2006-06-01,2007-12-01,2010-08-01,0,3D
294,140000.0,USA,AZ,Phoenix,Scottsdale,1,2014-02-01,2014-08-22,2014-08-22,0,Finance
296,1387500.0,USA,NY,New York City,New York,2,2009-11-01,2013-08-16,2015-01-16,0,Automated Kiosk
298,1700000.0,HUN,5,Budapest,Budapest,2,2009-09-15,2011-01-01,2012-07-01,0,Android
299,2249999.0,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-03-30,2014-04-02,1,Software
300,20000000.0,USA,WA,Seattle,Seattle,1,2003-01-01,2006-04-05,2006-04-05,0,Music
301,746185.0,CHN,22,Beijing,Beijing,2,2005-07-01,2006-03-01,2007-02-01,0,Mobile
302,13708150.0,CHN,5,Guangdong,Guangdong,3,2006-11-01,2007-08-20,2010-03-01,0,Semiconductors
304,4000000.0,USA,CA,SF Bay Area,San Francisco,1,2005-01-01,2007-07-01,2007-07-01,0,Messaging
306,65000000.0,USA,CA,SF Bay Area,Santa Clara,3,2004-06-01,2005-01-01,2008-09-22,1,Web Hosting
307,1500000.0,,,,,1,2010-07-01,2010-07-01,2010-07-01,1,Android
308,500000.0,GBR,H9,London,London,2,2014-02-18,2014-05-09,2015-10-18,0,iOS
310,148000000.0,USA,CA,SF Bay Area,Fremont,3,1999-01-01,2000-05-01,2004-02-10,1,Cloud Data Services
311,25920000.0,USA,VA,"Washington, D.C.",Fairfax,4,2006-08-01,2010-01-29,2013-06-06,0,Consulting
312,17500000.0,USA,CA,Los Angeles,Manhattan Beach,1,2006-01-01,2015-12-03,2015-12-03,0,
313,1011601.0,USA,MA,Boston,Cambridge,3,2007-01-01,2010-02-08,2011-10-21,0,Software
317,1500000.0,CHN,,,,2,2010-05-23,2011-02-10,2012-05-01,0,Curated Web
319,1394250.0,FRA,B8,Nice,Mougins,1,2005-01-01,2008-11-14,2008-11-14,0,Mobile
320,5000000.0,USA,CA,SF Bay Area,San Francisco,2,2007-12-01,2010-04-20,2013-04-24,0,Developer APIs
321,7063012.0,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-08-31,2014-12-05,0,Biotechnology
322,2000000.0,USA,TX,Austin,Austin,1,2008-01-01,2011-08-19,2011-08-19,0,App Marketing
323,13000000.0,USA,PA,Philadelphia,Malvern,1,1971-01-01,2002-07-29,2002-07-29,0,Physical Security
326,15152514.0,GBR,I9,,,1,2007-01-01,2014-03-03,2014-03-03,0,Clean Technology
327,1670000.0,USA,CA,SF Bay Area,Santa Clara,1,2013-08-15,2015-04-15,2015-04-15,0,Software
328,15000000.0,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25,1,Clean Technology
329,272000.0,IRL,29,IRL - Other,Athlone,1,2003-01-01,2007-05-01,2007-05-01,0,Software
330,50958896.6114209,IRL,7,Blackrock,Blackrock,2,2004-01-01,2006-10-31,2013-03-01,1,Coupons
331,64567194.0,USA,CA,SF Bay Area,San Francisco,7,2002-01-01,2006-01-17,2015-01-13,0,Security
333,3393925.0,USA,OH,"Columbus, Ohio",Columbus,2,2007-11-01,2008-02-20,2010-05-26,0,Flash Storage
339,2374979.0,USA,WA,WA - Other,Stevenson,6,2009-04-01,2011-07-01,2015-03-09,0,E-Commerce
340,1000.0,BWA,9,BWA - Other,Ramotswa,1,2013-07-12,2014-05-14,2014-05-14,0,Networking
342,6246800.0,,,,,2,1997-01-01,1999-07-01,2000-07-01,0,Enterprise Software
343,81000.0,USA,CA,San Diego,San Diego,1,2014-01-01,2014-10-22,2014-10-22,0,Machine Learning
344,1050000.0,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-04-01,2010-06-01,0,Crowdfunding
345,750000.0,USA,MD,Baltimore,Baltimore,1,2010-01-01,2011-07-11,2011-07-11,0,Messaging
346,38064570.0,USA,CA,SF Bay Area,San Jose,4,2004-01-01,2006-05-08,2012-04-11,1,Security
348,1000000.0,USA,GA,Atlanta,Tucker,1,2004-01-01,2010-06-15,2010-06-15,0,Software
349,1000000.0,USA,WA,Seattle,Woodinville,1,2006-01-01,2013-01-17,2013-01-17,0,Software
350,17400000.0,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-09-01,2013-01-31,0,Commercial Real Estate
353,500000.0,,,,,1,2015-05-01,2015-06-01,2015-06-01,0,Online Travel
356,450000.0,USA,MD,MD - Other,La Plata,1,2015-01-05,2015-05-31,2015-05-31,0,Creative
357,485841.245076705,SWE,21,Stockholm,Uppsala,2,2011-04-01,2012-08-24,2014-10-02,0,Internet
358,49656999.0,USA,MA,Boston,Watertown,5,2011-01-01,2012-02-14,2015-06-19,0,Biotechnology
360,450000.0,USA,NY,Long Island,Smithtown,1,1991-05-01,2014-08-15,2014-08-15,0,Entertainment
363,20900.0,USA,SC,Myrtle Beach,Conway,1,2005-01-01,2013-10-07,2013-10-07,0,Clean Technology
365,6999995.0,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2015-08-13,2015-08-13,0,Biotechnology
366,500000.0,CAN,NS,Halifax,Halifax,1,2008-01-01,2015-11-20,2015-11-20,0,Biotechnology
367,3378975.0,USA,VA,"Washington, D.C.",Herndon,1,2005-01-01,2011-12-12,2011-12-12,1,Mobile
371,9416354.0,USA,CA,SF Bay Area,Sunnyvale,6,2006-01-01,2006-08-01,2010-02-03,1,Automotive
372,320288000.0,USA,CA,SF Bay Area,San Mateo,8,2004-09-08,2005-03-01,2014-08-01,0,Ad Targeting
373,1000000.0,,,,,1,2012-03-01,2012-03-01,2012-03-01,0,E-Commerce
376,60000000.0,USA,PA,Pittsburgh,Pittsburgh,5,2005-01-01,2005-06-17,2015-09-29,0,Hardware + Software
378,6500000.0,ROM,10,Bucharest,Bucharest,3,2002-02-18,2004-03-01,2013-05-09,0,Cloud Computing
379,100000.0,GBR,H9,London,London,1,2014-10-08,2014-12-02,2014-12-02,0,Games
380,10000000.0,CHN,30,Guangzhou,Guangzhou,1,2011-03-01,2012-02-01,2012-02-01,0,Mobile
384,50000.0,USA,CA,SF Bay Area,Stanford,1,2012-01-01,2013-08-26,2013-08-26,0,Apps
385,7000000.0,USA,MA,Boston,Waltham,1,2011-01-01,2011-12-21,2011-12-21,0,Biotechnology
387,1121078.0,GBR,N5,Sunderland Bridge,Sunderland Bridge,4,2010-03-10,2011-03-10,2013-08-15,0,Advertising
389,500000.0,,,,,1,2014-06-01,2015-11-11,2015-11-11,0,
391,50000.0,USA,NY,New York City,New York,1,2013-01-24,2015-08-13,2015-08-13,0,Real Estate
392,762500.0,BRA,2,Sao Paulo,São Paulo,1,2013-08-01,2013-08-29,2013-08-29,0,Pets
394,95445.0,GBR,G5,Kent,Kent,1,2013-01-01,2014-02-01,2014-02-01,0,Aerospace
395,385980.0,,,,,1,2012-01-01,2013-07-23,2013-07-23,0,Curated Web
396,250000.0,USA,NC,Raleigh,Morrisville,1,2004-01-01,2010-07-14,2010-07-14,0,Software
399,740000.0,USA,NY,New York City,New York,2,2012-01-01,2012-03-29,2013-01-08,0,Software
401,180000.0,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2013-07-23,2014-02-20,2014-02-20,0,Consumer Electronics
407,12900000.0,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2009-12-15,2013-03-12,1,E-Commerce
408,100000.0,,,,,1,2014-08-15,2014-09-01,2014-09-01,0,Distribution
409,22325000.0,CAN,ON,Toronto,Toronto,7,2009-10-01,2011-06-03,2015-07-21,0,Apps
412,27000000.0,CHN,23,Shanghai,Shanghai,3,2005-01-01,2006-05-01,2007-07-01,0,Software
415,2928257.0,CHN,,,,1,2009-01-01,2010-05-01,2010-05-01,0,Real Estate
416,9300000.0,CHN,2,CHN - Other,Jinhua,3,2002-11-01,2004-03-01,2007-12-01,0,E-Commerce
